timestamp,signal_x,signal_y,signal_z
0.0,1.039,-0.010,0.174
1.0,1.044,-0.011,0.178
2.0,1.040,-0.007,0.184
3.0,1.043,-0.008,0.179
4.0,1.048,-0.012,0.185
5.0,1.044,-0.011,0.179
6.0,1.039,-0.006,0.177
7.0,1.044,-0.005,0.176
8.0,1.041,-0.004,0.178
9.0,1.038,-0.008,0.179
10.0,1.042,-0.009,0.178
11.0,1.040,-0.008,0.185
12.0,1.034,-0.014,0.189
13.0,1.041,-0.004,0.186
14.0,1.040,-0.006,0.178
15.0,1.039,-0.011,0.180
16.0,1.042,-0.010,0.183
17.0,1.045,-0.011,0.186
18.0,1.038,-0.017,0.190
19.0,1.034,-0.012,0.188
20.0,1.039,-0.015,0.187
21.0,1.044,-0.011,0.180
22.0,1.036,-0.009,0.190
23.0,1.044,-0.014,0.184
24.0,1.046,-0.015,0.176
25.0,1.041,-0.011,0.179
26.0,1.031,-0.009,0.182
27.0,1.038,-0.005,0.185
28.0,1.043,-0.006,0.182
29.0,1.044,-0.008,0.188
30.0,1.041,-0.010,0.189
31.0,1.034,-0.012,0.185
32.0,1.041,-0.015,0.186
33.0,1.037,-0.011,0.185
34.0,1.037,-0.013,0.183
35.0,1.040,-0.011,0.183
36.0,1.045,-0.013,0.185
37.0,1.047,-0.010,0.182
38.0,1.039,-0.016,0.181
39.0,1.037,-0.011,0.180
40.0,1.040,-0.013,0.188
41.0,1.043,-0.010,0.188
42.0,1.040,-0.013,0.188
43.0,1.036,-0.014,0.191
44.0,1.038,-0.009,0.184
45.0,1.040,-0.013,0.187
46.0,1.043,-0.013,0.184
47.0,1.041,-0.009,0.177
48.0,1.044,-0.010,0.185
49.0,1.048,-0.011,0.185
50.0,1.045,-0.008,0.183
51.0,1.040,-0.007,0.185
52.0,1.040,-0.008,0.179
53.0,1.034,-0.009,0.172
54.0,1.030,-0.006,0.178
55.0,1.035,-0.012,0.175
56.0,1.045,-0.010,0.174
57.0,1.036,-0.010,0.179
58.0,1.038,-0.010,0.169
59.0,1.038,-0.012,0.175
60.0,1.039,-0.006,0.188
61.0,1.034,-0.009,0.177
62.0,1.043,-0.010,0.172
63.0,1.045,-0.010,0.181
64.0,1.039,-0.011,0.180
65.0,1.042,-0.006,0.185
66.0,1.047,-0.008,0.198
67.0,1.047,-0.010,0.190
68.0,1.040,-0.012,0.185
69.0,1.039,-0.013,0.182
70.0,1.040,-0.008,0.180
71.0,1.043,-0.011,0.189
72.0,1.040,-0.012,0.179
73.0,1.041,-0.013,0.184
74.0,1.043,-0.007,0.179
75.0,1.042,-0.008,0.180
76.0,1.041,-0.006,0.178
77.0,1.040,-0.007,0.177
78.0,1.033,-0.016,0.182
79.0,1.037,-0.014,0.185
80.0,1.034,-0.014,0.184
81.0,1.039,-0.019,0.175
82.0,1.040,-0.015,0.185
83.0,1.044,-0.011,0.190
84.0,1.044,-0.009,0.191
85.0,1.041,-0.006,0.189
86.0,1.040,-0.008,0.188
87.0,1.041,-0.010,0.184
88.0,1.039,-0.012,0.187
89.0,1.032,-0.007,0.188
90.0,1.036,-0.006,0.183
91.0,1.045,-0.006,0.185
92.0,1.042,-0.008,0.176
93.0,1.041,-0.008,0.177
94.0,1.039,-0.010,0.175
95.0,1.038,-0.009,0.176
96.0,1.037,-0.010,0.192
97.0,1.041,-0.016,0.177
98.0,1.039,-0.016,0.181
99.0,1.035,-0.012,0.186
100.0,1.039,-0.008,0.183
101.0,1.041,-0.010,0.190
102.0,1.039,-0.014,0.190
103.0,1.038,-0.009,0.187
104.0,1.033,-0.013,0.179
105.0,1.032,-0.016,0.181
106.0,1.039,-0.013,0.187
107.0,1.040,-0.007,0.183
108.0,1.040,-0.002,0.188
109.0,1.042,-0.008,0.187
110.0,1.040,-0.007,0.175
111.0,1.040,-0.006,0.180
112.0,1.039,-0.008,0.184
113.0,1.039,-0.015,0.182
114.0,1.038,-0.009,0.180
115.0,1.044,-0.012,0.176
116.0,1.042,-0.015,0.175
117.0,1.040,-0.010,0.177
118.0,1.047,-0.008,0.173
119.0,1.040,-0.011,0.172
120.0,1.037,-0.015,0.177
121.0,1.037,-0.013,0.182
122.0,1.041,-0.008,0.183
123.0,1.040,-0.014,0.187
124.0,1.037,-0.011,0.178
125.0,1.047,-0.007,0.177
126.0,1.047,-0.008,0.175
127.0,1.040,-0.006,0.176
128.0,1.037,-0.009,0.186
129.0,1.035,-0.007,0.185
130.0,1.042,-0.011,0.186
131.0,1.037,-0.010,0.181
132.0,1.035,-0.010,0.180
